Nome,CodiceNAV
BANDIERINE DI SEGNALAZIONE,971043
BARCHETTA DI SOSP. PER F.O.,978004
BARCHETTA DI SOSPENSIONE PER F.D.G.(LM 503),978005
BARRA /1 PER ACCOMPAGNAMENTO CALATA F.O.,978006
BARRA /2 PER ACCOMPAGNAMENTO CALATA F.O.,978007
BARRA /3 PER ACCOMPAGNAMENTO CALATA F.O.,978008
BARRA /4 PER ACCOMPAGNAMENTO CALATA F.O.,978009
BARRA FILETTATA M22 DA 1 m,978012
BARRA FILETTATA M6 1 m,880158
BARRA FILETTATA Ø 10 INOX A2 L=1 m,881788
BARRA FILETTATA Ø 14 INOX A2 L= 1 m,881979
BARRA FILETTATA Ø 16 INOX A2 L=1 m,882445
BARRA FILETTATA ZINCATA M10 1 m,880160
BARRA FILETTATA ZINCATA M12 1 m,880161
BARRA FILETTATA ZINCATA M20 1 m,881787
BARRA FILETTATA ZINCATA M8 1 m,880159
BARRA MAGNETICA PORTA UTENSILI,970333
BARRA RAME 3 X 0.4 cm da 2 m,971310
BARRA RAME 4 X 0.7 cm da 0.90 cm,971311
BARRA RAME 60X10 L=10,971050
BARRE ACC.FE37 TRAF.TONDE Ø  8,3703008
BARRE FILET.DIN975-4.8 14MA NO,230750009
BATTERIA PER ATTREZZI HILTI,977666A3
BATTERIA PER LAMPADA STRADALE,991926
BATTERIA PUNZONATRICE A BATTERIA,990933A2
BATTERIA RADIO MIDLAND,882599A3
BATTERIA RADIO MOTOROLA,882599A2
BATTERIA RICARICABILE CB3662L,971197
BATTERIA STAZION. TOT. SOKKIA TBDC35A,970269
BATTERIA TRAPANO AVVITATORE HIKOKI,970190A4
BATTERIE AL LITIO RADIO RICETR. MIDLAND G18 PRO,970159
BETONCINO SACCHI,SE0000295
BETONIERA BUTTI BENNA CLS 500 l,979036
BICI CONDUTTORE singolo,977053A2
BICI CONDUTTORE TRINATO,977053A1
Bidone tanica metallo per Combustibile 10 l,978001A10
BIFILARE PER CONDUTTORE 21.5/26,978018
BIFILARE PER CONDUTTORE 22.8/22.8,978019
